ACCOUNT_NUMBER,COMPANY_AREA,GEOGRAPHIC_AREA,MONTH_NAME,YEAR_NAME,MONTH_YEAR,TYPE_OF_ACTIVITY,PRODUCT_COMBO,INTERNET_SPEED,SOURCE_OF_SALE,TYPE_OF_CONNECT_INSTALL,CUSTOMER_DISCONNECT_REASON,MONTHLY_RECURRING_REVENUE,EXPENSE_SALES_AND_MARKETING,EXPENSE_CONNECT_INSTALL,EXPENSE_PRODUCT_SUPPORT,TOTAL_EXPENSE,TOTAL_MARGIN
75912493,MID-ATLANTIC AREA,SOUTH-WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912494,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912495,MID-ATLANTIC AREA,EAST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,STORE/RETAIL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912496,MID-ATLANTIC AREA,EAST,MAR,2020,MAR-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912497,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75912498,MID-ATLANTIC AREA,NORTH-EAST,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912499,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912500,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75912501,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912502,MID-ATLANTIC AREA,EAST,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FAST,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912503,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,DOOR TO DOOR,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912504,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTEST,STORE/RETAIL,CUSTOMER SELF INSTALL,,$100.00,-$15.00,-$5.00,-$5.00,-$25.00,$75.00
75912505,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75912506,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912507,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75912508,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912509,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912510,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75912511,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FAST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912512,MID-ATLANTIC AREA,SOUTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912513,MID-ATLANTIC AREA,SOUTH-WEST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912514,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912515,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912516,MID-ATLANTIC AREA,EAST,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912517,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912518,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,DOOR TO DOOR,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912519,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,STORE/RETAIL,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75912520,MID-ATLANTIC AREA,SOUTH-EAST,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912521,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912522,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75912523,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912524,MID-ATLANTIC AREA,EAST,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75912525,MID-ATLANTIC AREA,EAST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,DOOR TO DOOR,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912526,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912527,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912528,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912529,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75912530,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912531,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912532,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912533,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912534,MID-ATLANTIC AREA,SOUTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912535,MID-ATLANTIC AREA,SOUTH,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912536,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,SERVICE,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912537,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912538,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912539,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912540,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912541,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912542,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912543,MID-ATLANTIC AREA,EAST,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912544,MID-ATLANTIC AREA,NORTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75912545,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912546,MID-ATLANTIC AREA,WEST,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912547,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912548,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912549,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912550,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75912551,MID-ATLANTIC AREA,EAST,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912552,MID-ATLANTIC AREA,SOUTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912553,MID-ATLANTIC AREA,EAST,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75912554,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FAST,STORE/RETAIL,CUSTOMER SELF INSTALL,,$50.00,-$15.00,-$5.00,-$5.00,-$25.00,$25.00
75912555,MID-ATLANTIC AREA,SOUTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTEST,ONLINE,CUSTOMER SELF INSTALL,,$100.00,-$15.00,-$5.00,-$5.00,-$25.00,$75.00
75912556,MID-ATLANTIC AREA,NORTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912557,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75912558,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$15.00,-$5.00,-$5.00,-$25.00,$75.00
75912559,MID-ATLANTIC AREA,SOUTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$18.00,-$5.00,-$20.00,-$43.00,$57.00
75912560,MID-ATLANTIC AREA,EAST,JAN,2019,JAN-2019,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912561,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912562,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FAST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912563,MID-ATLANTIC AREA,EAST,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912564,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75912565,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75912566,MID-ATLANTIC AREA,EAST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75912567,MID-ATLANTIC AREA,EAST,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912568,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$18.00,-$12.00,-$20.00,-$50.00,$50.00
75912569,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912570,MID-ATLANTIC AREA,WEST,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912571,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75912572,MID-ATLANTIC AREA,NORTH-EAST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FAST,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75912573,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75912574,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912575,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912576,MID-ATLANTIC AREA,SOUTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,STORE/RETAIL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912577,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET & TV & PHONE,FASTER,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75912578,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75912579,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75912580,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912581,MID-ATLANTIC AREA,EAST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75912582,MID-ATLANTIC AREA,SOUTH-EAST,MAR,2020,MAR-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
